233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
477A24305BHF009                         ;10;477D24305SKG010                         ;1;1
482F30496BHG019                         ;10;482I30496GGG019                         ;1;1
477A24305BHF009                         ;10;477D24305SKG010                         ;1;1
482F30496BHG019                         ;10;482I30496GGG019                         ;1;1
233G26264PERFT3                         ;10;544D26265NKM019                         ;1;1
233G26264PERFT3                         ;20;ERSPE1000GRAU                           ;1;2,15
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233G26264PERFT3                         ;10;544D26265NKM019                         ;1;1
233G26264PERFT3                         ;20;ERSPE1000GRAU                           ;1;2,15
233G26264PERFT3                         ;10;544D26265NKM019                         ;1;1
233G26264PERFT3                         ;20;ERSPE1000GRAU                           ;1;2,15
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233G26264PERFT3                         ;10;544D26265NKM019                         ;1;1
233G26264PERFT3                         ;20;ERSPE1000GRAU                           ;1;2,15
233G26264PERFT3                         ;10;544D26265NKM019                         ;1;1
233G26264PERFT3                         ;20;ERSPE1000GRAU                           ;1;2,15
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
232C21475PERFT3                         ;10;544D17984NKM019                         ;1;1
232C21475PERFT3                         ;20;ERSPE1000GRAU                           ;1;0,76
232C21475PERFT3                         ;10;544D17984NKM019                         ;1;1
232C21475PERFT3                         ;20;ERSPE1000GRAU                           ;1;0,76
531D23062PPEFT3                         ;10;550F30620SXP019                         ;1;1
713E22265BRA010                         ;10;713I22265SUA020                         ;1;1
233L23538KERF03                         ;10;544C30439NKM019                         ;1;1
233L23538KERF03                         ;10;544C30439NKM019                         ;1;1
477H27383BHF009                         ;10;477L27383SKG010                         ;1;1
482E28075BHG019                         ;10;482H28075GGG019                         ;1;1
233D26543PERF13                         ;10;544D26265NKM019                         ;1;1
233D26543PERF13                         ;10;544D26265NKM019                         ;1;1
101B30704DSG019                         ;10;101B30704DSG01A                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
477H27383BHF009                         ;10;477L27383SKG010                         ;1;1
482E28075BHG019                         ;10;482H28075GGG019                         ;1;1
233E26543KERF03                         ;10;544D26265NKM019                         ;1;1
233E26543KERF03                         ;10;544D26265NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
233D23538PERF03                         ;10;544C30439NKM019                         ;1;1
477L30224BHF009                         ;5;477C30224SKG010                         ;1;1
477L30224BHF009                         ;10;477H30224SKG01A                         ;1;0
477H30224SKG01A                         ;10;477C30224SKG010                         ;1;1
233H28353PERFT3                         ;10;544D28378NKM019                         ;1;1
233H28353PERFT3                         ;10;544D28378NKM019                         ;1;1
