.1 ; KA_Pos ; 142120 ;  ; 1 ;  ;  ; 1 ;  ; NEGrI ;  ;  ;  ;  ;  ;  ;  ; 1 ;  ;  ;  ; 
..2 ; FA_Komm ; 142120 ; 615298 ;  ;  ;  ; 1 ; 1 ; NEGrI ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
...3 ; FA_Pos ; 615298 ;  ; 1 ; 0 ; 1 ; 10 ;  ; X1P0788-264-049 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 75 ; 1 ; 3 ; 20 ;  ; R_A01LA0000000T ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 76 ; 1 ; 3 ; 30 ;  ; 101D27840PEH049 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Serie ; 144690 ; 624125 ;  ;  ;  ; 1 ; 2 ; 101D27840PEH049 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
......6 ; FA_Pos ; 624125 ;  ; 1 ; 0 ; 1 ; 10 ;  ; 101H27840PEH019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 77 ; 1 ; 3 ; 40 ;  ; 103B27838GGG059 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Serie ; 144244 ; 624009 ;  ;  ;  ; 1 ; 2 ; 103B27838GGG059 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
......6 ; FA_Pos ; 624009 ;  ; 1 ; 0 ; 1 ; 10 ;  ; 103F27838GGG029 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 78 ; 1 ; 3 ; 50 ;  ; 130L27916GGG039 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 79 ; 1 ; 3 ; 60 ;  ; 145I28123GGG019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 80 ; 1 ; 3 ; 70 ;  ; 183F30136STA029 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 81 ; 1 ; 3 ; 80 ;  ; 233AGN168PER143 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Serie ; 144219 ; 623282 ;  ;  ;  ; 1 ; 2 ; 233AGN168PER143 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
......6 ; FA_Pos ; 623282 ;  ; 1 ; 0 ; 1 ; 10 ;  ; 233H23538PERN03 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 82 ; 1 ; 3 ; 90 ;  ; 412FA6300EVW500 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 83 ; 1 ; 3 ; 100 ;  ; 412BA9144EVW533 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 84 ; 1 ; 3 ; 110 ;  ; 412KC5800EVW400 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 85 ; 1 ; 3 ; 120 ;  ; 412GA2189EVW262 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 86 ; 1 ; 3 ; 130 ;  ; 412IA3600EVW300 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 87 ; 1 ; 3 ; 140 ;  ; 412LA2182EVW353 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 88 ; 1 ; 3 ; 150 ;  ; 412EA3000EVW500 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 89 ; 1 ; 3 ; 160 ;  ; 412BA3500EVW300 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 90 ; 1 ; 3 ; 170 ;  ; 443G28179PEH019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 91 ; 1 ; 1 ; 180 ;  ; 463I20152PPP049 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 92 ; 91 ; 3 ; 190 ;  ; 463C20152PPPFT3 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 93 ; 1 ; 3 ; 200 ;  ; 472I30140ISA019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 94 ; 1 ; 3 ; 210 ;  ; 475D30139ISA019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 95 ; 1 ; 3 ; 220 ;  ; 481I18432EVA019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 96 ; 1 ; 3 ; 230 ;  ; 482I18469DMP019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 97 ; 1 ; 3 ; 240 ;  ; 501E22339SCA019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 98 ; 1 ; 3 ; 250 ;  ; 505E24968SXK039 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 99 ; 1 ; 1 ; 260 ;  ; 506E28232PAG019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 100 ; 99 ; 3 ; 270 ;  ; 506F28232PAGFT3 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 101 ; 1 ; 3 ; 280 ;  ; 506A30146SRB139 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 102 ; 1 ; 3 ; 290 ;  ; 507K24969SXK039 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 103 ; 1 ; 3 ; 300 ;  ; 511I28122GGG019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 104 ; 1 ; 3 ; 310 ;  ; 524A28212CHS129 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 105 ; 1 ; 3 ; 320 ;  ; 552EA0150SKF000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 106 ; 1 ; 3 ; 330 ;  ; 554IA0170SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 107 ; 1 ; 3 ; 340 ;  ; 554IA0170SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 108 ; 1 ; 3 ; 350 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 109 ; 1 ; 3 ; 360 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 110 ; 1 ; 3 ; 370 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 111 ; 1 ; 3 ; 380 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
