EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
.1 ; KA_Pos ; 142567 ;  ; 1 ;  ;  ; 1 ;  ; FKGr0 ; 0 ; FK Pumpe Gr0 ; FKGr0 ; 2 ;  ;  ; 0 ; 1 ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
..2 ; FA_Komm ; 142567 ; 616033 ;  ;  ;  ; 1 ; 1 ; FKGr0 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
...3 ; FA_Pos ; 616033 ;  ; 1 ; 0 ; 1 ; 10 ;  ; L0P0388-000-001 ; 0 ; Vorlage Pumpenteile ; FKPO 40-25-160 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 2 ; 1 ; 3 ; 20 ;  ; 101C28351PEH019 ; 1 ; Pumpengehäuse ; 40-25-160 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
.....5 ; FA_Serie ; 0 ; 619356 ;  ;  ;  ; 0 ; 0 ; 101C28351PEH019 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
......6 ; FA_Pos ; 619356 ;  ; 1 ; 0 ; 3 ; 10 ;  ; 101D28351PEHFT3 ; 1 ; Pumpengehäuse ; 40-25-160 ; 1 ;  ;  ; 1 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 3 ; 1 ; 3 ; 30 ;  ; 103K28352GGG019 ; 1 ; Ringgehäuse ; NE/FK 40-25-160 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
.....5 ; FA_Serie ; 0 ; 622332 ;  ;  ;  ; 0 ; 0 ; 103K28352GGG019 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
......6 ; FA_Pos ; 622332 ;  ; 1 ; 0 ; 3 ; 10 ;  ; 103L28352GGGFT3 ; 1 ; Ringgehäuse ; NE/FK 40-25-160 ; 1 ;  ;  ; 1 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 4 ; 1 ; 3 ; 40 ;  ; 130L28356GGG019 ; 1 ; Gehäuseteil ; NE/FK 40-25-160 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
.....5 ; FA_Serie ; 0 ; 619657 ;  ;  ;  ; 0 ; 0 ; 130L28356GGG019 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
......6 ; FA_Pos ; 619657 ;  ; 1 ; 0 ; 3 ; 10 ;  ; 130A28356GGGFT3 ; 1 ; Gehäuseteil ; NE/FK 40-25-160 ; 1 ;  ;  ; 1 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 5 ; 1 ; 3 ; 50 ;  ; 145K30485GGG019 ; 1 ; Verbindungsstück ; NE/FK-Größe 0 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
.....5 ; FA_Serie ; 0 ; 623870 ;  ;  ;  ; 0 ; 0 ; 145K30485GGG019 ;  ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
......6 ; FA_Pos ; 623870 ;  ; 1 ; 0 ; 3 ; 10 ;  ; 145L30485GGGFT3 ; 1 ; Verbindungsstück ; NE/FK-Größe 0 ; 1 ;  ;  ; 1 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 6 ; 1 ; 3 ; 60 ;  ; 210G28283SCB019 ; 1 ; Welle ; FK_O 40-25-160 ; 1 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
EbeneNice ; PosTyp ; id_stu ; FA_Nr ; id_pos ; ueb_s_nr ; ds ; pos_nr ; verurs_art ; t_tg_nr ; T_oa ; Bezeichnung ; T_unipps_typ ; T_besch_art ; urspr_land ; ausl_u_land ; T_praeferenzkennung ; menge ; T_sme ; T_faktlme_sme ; T_lme ; 
....4 ; FA_Pos ; 616033 ;  ; 7 ; 1 ; 3 ; 70 ;  ; 233AAN150PER135 ; 1 ; Linkslaufrad, halboffen ; Ø150/135 ; 2 ;  ;  ; 0 ;  ; 1 ; 1 ; 1 ; 
