"EbeneNice";"PosTyp";"id_stu";"FA_Nr";"id_pos";"ueb_s_nr";"ds";"pos_nr";"verurs_art";"t_tg_nr";"oa";"Bezeichnung";"unipps_typ";"besch_art";"praeferenzkennung";"menge";"sme";"faktlme_sme";"lme";"bestell_id";"bestell_datum";"preis";"basis";"pme";"bme";"faktlme_bme";"faktbme_pme";"lieferant";"kurzname";"MengeTotal";"PreisEU";"PreisNonEU";"SummeEU";"SummeNonEU";"vk_netto"
"1";"KA_Pos";"142567";"0";1;0;0;1;0;"FKGr0";0;"FK Pumpe Gr0";"FKGr0";2;0;1;1;1;1;;;;;;;;;;"";1;0;0;450,332788345455;1010,93881066667;0
".2";"FA_Komm";"142567";"616033";1;0;0;1;1;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;450,332788345455;1010,93881066667;0
"..3";"FA_Pos";"616033";"0";1;0;1;10;0;"L0P0388-000-001";0;"Vorlage Pumpenteile";"FKPO 40-25-160";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;450,332788345455;825,700410666667;0
"...4";"FA_Pos";"616033";"0";2;1;3;20;0;"101C28351PEH019";1;"Pumpengehäuse";"40-25-160";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;103,8;0;0
"....5";"FA_Serie";"101C28351PEH019";"619356";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;103,8;0;0
".....6";"FA_Pos";"619356";"0";1;0;3;10;0;"101D28351PEHFT3";1;"Pumpengehäuse";"40-25-160";0;1;1;1;1;1;58752;14.07.1905;103,8;1;1;1;1;1;3140100;"OTTEN";1;103,8;0;103,8;0;0
"...4";"FA_Pos";"616033";"0";3;1;3;30;0;"103K28352GGG019";1;"Ringgehäuse";"NE/FK 40-25-160";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;58,92;0;0
"....5";"FA_Serie";"103K28352GGG019";"622332";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;58,92;0;0
".....6";"FA_Pos";"622332";"0";1;0;3;10;0;"103L28352GGGFT3";1;"Ringgehäuse";"NE/FK 40-25-160";0;1;1;1;1;1;58240;14.07.1905;58,92;1;1;1;1;1;3090180;"JÜRGENS";1;58,92;0;58,92;0;0
"...4";"FA_Pos";"616033";"0";4;1;3;40;0;"130L28356GGG019";1;"Gehäuseteil";"NE/FK 40-25-160";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;2,67120454545455;0;0
"....5";"FA_Serie";"130L28356GGG019";"619657";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;2,67120454545455;0;0
".....6";"FA_Pos";"619657";"0";1;0;3;10;0;"130A28356GGGFT3";1;"Gehäuseteil";"NE/FK 40-25-160";0;1;0,5;1;1;1;55964;13.07.1905;4,24;1;7;1;1;1,26;3090180;"JÜRGENS";0,5;2,67120454545455;0;2,67120454545455;0;0
"...4";"FA_Pos";"616033";"0";5;1;3;50;0;"145K30485GGG019";1;"Verbindungsstck";"NE/FK-Grße 0";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;23,3784;0;0
"....5";"FA_Serie";"145K30485GGG019";"623870";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;23,3784;0;0
".....6";"FA_Pos";"623870";"0";1;0;3;10;0;"145L30485GGGFT3";1;"Verbindungsstck";"NE/FK-Grße 0";0;1;1;1;1;1;58612;14.07.1905;3,06;1;7;1;1;7,64;3090180;"JÜRGENS";1;23,3784;0;23,3784;0;0
"...4";"FA_Pos";"616033";"0";6;1;3;60;0;"210G28283SCB019";1;"Welle";"FK_O 40-25-160";0;0;1;1;1;1;59205;14.07.1905;68,9;1;1;1;1;1;3060550;"FEWES";1;0;68,9;0;68,9;0
"...4";"FA_Pos";"616033";"0";7;1;3;70;0;"233AAN150PER135";1;"Linkslaufrad, halbof";"Ø150/135";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;0
"....5";"FA_Serie";"233AAN150PER135";"620654";1;0;0;1;1;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;0;715,623333333333;0
".....6";"FA_Pos";"620654";"0";1;0;3;10;0;"233A28353PER003";1;"Linkslaufrad, halbof";"25-160";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;0
"......7";"FA_Serie";"233A28353PER003";"622326";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;0;715,623333333333;0
".......8";"FA_Pos";"622326";"0";1;0;3;10;0;"233H28353PERFT3";1;"Linkslaufrad, halbof";"25-160";0;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;715,623333333333;0
"........9";"Teil";"233H28353PERFT3";"0";10;0;0;10;0;"544D28378NKM019";1;"Gewindebuchse";"NE/FK 40-25-160";0;0;1;1;1;1;51604;11.07.1905;3,84;1;1;1;1;1;3090460;"JADATEC";1;0;715,623333333333;0;715,623333333333;0
"...4";"FA_Pos";"616033";"0";8;1;3;80;0;"321IA0550SKL003";1;"Rillenkugellager";"";0;1;2;1;1;1;58027;13.07.1905;8,92;1;1;1;1;1;3010380;"A+R";2;17,84;0;17,84;0;0
"...4";"FA_Pos";"616033";"0";9;1;3;90;0;"340D28347GGG019";1;"Lagerlaterne";"FK Grße 0";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;76,8551666666667;0;0
"....5";"FA_Serie";"340D28347GGG019";"620796";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;76,8551666666667;0;0
".....6";"FA_Pos";"620796";"0";1;0;3;10;0;"340E28347GGGFT3";1;"Lagerlaterne";"FK Grße 0";0;1;1;1;1;1;58011;13.07.1905;3,72;1;7;1;1;20,66;3090180;"JÜRGENS";1;76,8551666666667;0;76,8551666666667;0;0
"...4";"FA_Pos";"616033";"0";10;1;3;100;0;"360B28354GGB019";1;"Lagerdeckel";"FK-Grße 0";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;3,58;0;0
"....5";"FA_Serie";"360B28354GGB019";"607986";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;3,58;0;0
".....6";"FA_Pos";"607986";"0";1;0;3;10;0;"361H28355GGBFT3";1;"Endlagerdeckel";"FK-Grße 0";0;1;1;1;1;1;58559;14.07.1905;3,58;1;1;1;1;1;4160040;"RADEM2";1;3,58;0;3,58;0;0
"...4";"FA_Pos";"616033";"0";11;1;3;110;0;"361G28355GGB019";1;"Endlagerdeckel";"FK-Grße 0";0;0;1;1;1;1;;;;;;;;;;"";1;0;0;3,58;0;0
"....5";"FA_Serie";"361G28355GGB019";"607984";1;0;0;1;0;"";;"";"";0;;1;;;;;;;;;;;;;"";1;0;0;3,58;0;0
".....6";"FA_Pos";"607984";"0";1;0;3;10;0;"361H28355GGBFT3";1;"Endlagerdeckel";"FK-Grße 0";0;1;1;1;1;1;58559;14.07.1905;3,58;1;1;1;1;1;4160040;"RADEM2";1;3,58;0;3,58;0;0
"...4";"FA_Pos";"616033";"0";12;1;3;120;0;"412IA3269EVW533";1;"Runddichtring";"Ø 32,69 x Ø5,33";0;1;1;1;1;1;57125;13.07.1905;40,9;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,409;0;0,409;0;0
"...4";"FA_Pos";"616033";"0";13;1;3;130;0;"412HA4699EVW533";1;"Runddichtring";"Ø 46,99 x Ø5,33";0;1;1;1;1;1;59334;14.07.1905;97,68;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,9768;0;0,9768;0;0
