1 ; KA_Pos ; 142567 ;  ; 1 ;  ;  ; 1 ;  ; FKGr0 ; 0 ;  ;  ; 2 ;  ;  ;  ; 1 ;  ;  ;  ; 
.2 ; FA_Komm ; 142567 ; 616033 ;  ;  ;  ; 1 ; 1 ; FKGr0 ; 0 ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
..3 ; FA_Pos ; 616033 ;  ; 1 ; 0 ; 1 ; 10 ;  ; L0P0388-000-001 ; 0 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 2 ; 1 ; 3 ; 20 ;  ; 101C28351PEH019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 3 ; 1 ; 3 ; 30 ;  ; 103K28352GGG019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 4 ; 1 ; 3 ; 40 ;  ; 130L28356GGG019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 5 ; 1 ; 3 ; 50 ;  ; 145K30485GGG019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 6 ; 1 ; 3 ; 60 ;  ; 210G28283SCB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 7 ; 1 ; 3 ; 70 ;  ; 233AAN150PER135 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Serie ; 144691 ; 624127 ;  ;  ;  ; 1 ; 2 ; 233AAN150PER135 ; 1 ;  ;  ;  ;  ;  ;  ; 1. ;  ;  ;  ; 
.....6 ; FA_Pos ; 624127 ;  ; 1 ; 0 ; 1 ; 10 ;  ; 233A28353PER003 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 8 ; 1 ; 3 ; 80 ;  ; 321IA0550SKL003 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 9 ; 1 ; 3 ; 90 ;  ; 340D28347GGG019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 10 ; 1 ; 3 ; 100 ;  ; 360B28354GGB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 11 ; 1 ; 3 ; 110 ;  ; 361G28355GGB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 12 ; 1 ; 3 ; 120 ;  ; 412IA3269EVW533 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 13 ; 1 ; 3 ; 130 ;  ; 412HA4699EVW533 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 14 ; 1 ; 3 ; 140 ;  ; 412DC0914EVW353 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 15 ; 1 ; 3 ; 150 ;  ; 412HA2029EVW262 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 16 ; 1 ; 3 ; 160 ;  ; 412FA2824EVW262 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 17 ; 1 ; 3 ; 170 ;  ; 412HA6634EVW262 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 18 ; 1 ; 3 ; 180 ;  ; 412LA4412EVW262 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 19 ; 1 ; 3 ; 190 ;  ; 420DA0055EKN000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 20 ; 1 ; 3 ; 200 ;  ; 420DA0055EKN000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 21 ; 1 ; 3 ; 210 ;  ; 443C28371PEH019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 22 ; 1 ; 1 ; 220 ;  ; 463C20152PPP039 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 23 ; 22 ; 3 ; 230 ;  ; 463C20152PPPFT3 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 24 ; 1 ; 3 ; 240 ;  ; 472H28278ISA019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 25 ; 1 ; 3 ; 250 ;  ; 474F28281TKF019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 26 ; 1 ; 3 ; 260 ;  ; 475E30115ISA019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 27 ; 1 ; 3 ; 270 ;  ; 477L30224BHF009 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; Teil ; 477 ;  ;  ;  ;  ; 5 ;  ; 477C30224SKG010 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; Teil ; 477 ;  ;  ;  ;  ; 10 ;  ; 477H30224SKG01A ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....6 ; Teil ; 477 ;  ;  ;  ;  ; 10 ;  ; 477C30224SKG010 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 28 ; 1 ; 3 ; 280 ;  ; 481K28279TVL029 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 29 ; 1 ; 3 ; 290 ;  ; 482I28282DMP029 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 30 ; 1 ; 3 ; 300 ;  ; 506H28379SRB059 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 31 ; 1 ; 3 ; 310 ;  ; 506F28379SRB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 32 ; 1 ; 3 ; 320 ;  ; 507K28288SXK019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 33 ; 1 ; 3 ; 330 ;  ; 511C28393STA019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 34 ; 1 ; 3 ; 340 ;  ; 524K28287CHS019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 35 ; 1 ; 3 ; 350 ;  ; 552EA0128SKF000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 36 ; 1 ; 3 ; 360 ;  ; 554GA0130SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 37 ; 1 ; 3 ; 370 ;  ; 554IA0170SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
